Unnamed: 0,rep,hv,dataset,exp,num_pts,avg_pred_perf,avg_fair_perf,objective1,objective2
0,0,0.7986270022883295,heart_disease,Equal Weights,7,0.8758782201405152,0.1608368747956849,0,0
1,1,0.4534277198211624,heart_disease,Equal Weights,22,0.8166915052160953,0.4969008264462811,0,0
2,2,0.6654056326187474,heart_disease,Equal Weights,20,0.9049180327868852,0.3153263403263403,0,0
3,3,0.6717668488160291,heart_disease,Equal Weights,3,0.8961748633879781,0.2888888888888889,0,0
4,4,0.9030054644808744,heart_disease,Equal Weights,29,0.9259468626342569,0.1315325670498084,0,0
5,5,0.8384074941451991,heart_disease,Equal Weights,1,0.9344262295081968,0.1027568922305764,0,0
6,6,0.6494257911808539,heart_disease,Equal Weights,3,0.8633879781420765,0.2798573975044562,0,0
7,7,0.4670309653916211,heart_disease,Equal Weights,51,0.75602700096432,0.4688453159041396,0,0
8,8,0.5032786885245902,heart_disease,Equal Weights,9,0.8998178506375226,0.475,0,0
9,9,0.484940907357987,heart_disease,Equal Weights,1,0.8688524590163934,0.4418604651162791,0,0
10,10,0.6262601911107214,heart_disease,Equal Weights,11,0.8405365126676603,0.3443121050072922,0,0
11,11,0.610253353204173,heart_disease,Equal Weights,14,0.8114754098360658,0.374025974025974,0,0
12,12,0.4422665716322166,heart_disease,Equal Weights,18,0.8406193078324224,0.5289855072463767,0,0
13,13,0.4683207797961896,heart_disease,Equal Weights,11,0.8435171385991058,0.4717444717444717,0,0
14,14,0.7461756938561961,heart_disease,Equal Weights,2,0.819672131147541,0.0896656534954407,0,0
15,15,0.6080696063820462,heart_disease,Equal Weights,5,0.8655737704918032,0.3510695187165774,0,0
16,16,0.7385021675220489,heart_disease,Equal Weights,31,0.8223162347964038,0.2261496225120109,0,0
17,17,0.3702779757662152,heart_disease,Equal Weights,294,0.8362328537972568,0.5654392191659273,0,0
18,18,0.6194567044976881,heart_disease,Equal Weights,11,0.8554396423248881,0.3779137529137529,0,0
